Tract,total_pop,male,female,under_5yo,age5_9yo,age10_14yo,age15_19yo,age20_24yo,age25_34yo,age35_44yo,age45_54yo,age55_59yo,age60_64yo,age65_74yo,age75_84yo,age85_over,under_18yo
1001,1162,621,541,0,0,32,24,268,404,229,93,68,7,37,0,0,38
1002,1503,728,775,71,41,104,166,118,261,181,179,128,89,105,55,5,327
1003,5549,2621,2928,453,629,463,214,272,951,655,659,250,358,397,148,100,1722
1004,3077,1598,1479,309,260,140,208,203,580,501,273,204,126,174,57,42,794
1005,4601,2259,2342,459,208,99,238,472,1158,523,207,158,342,361,166,210,856
1006.01,2188,1032,1156,88,145,109,115,81,257,234,247,144,130,342,198,98,419
1006.02,2512,1189,1323,96,125,53,180,377,378,236,260,162,119,250,153,123,371
1007,1312,724,588,85,102,94,68,43,140,118,161,162,114,197,28,0,324
1008,2589,1125,1464,164,184,87,400,675,379,254,130,94,66,107,19,30,489
1009,2346,1269,1077,127,122,113,106,70,507,396,501,158,93,100,31,22,388
1010.01,4222,2030,2192,447,286,289,295,253,707,493,645,196,135,274,130,72,1187
1010.02,3524,1728,1796,180,279,275,198,224,778,481,298,244,229,265,52,21,854
1011.01,2707,1395,1312,367,205,206,167,253,470,338,172,112,100,172,110,35,903
1011.02,8002,3851,4151,889,521,486,583,778,1689,747,808,481,348,484,118,70,2274
1011.03,2589,1354,1235,274,190,173,137,155,441,278,300,169,129,191,124,28,739
1012.01,2217,1002,1215,172,260,152,67,185,479,274,230,103,75,174,23,23,606
1012.02,4279,2244,2035,337,306,342,234,308,920,659,448,182,166,231,146,0,1133
1013.03,11211,5619,5592,1394,1005,612,617,1569,2702,1161,874,321,292,492,151,21,3403
1013.04,5857,2897,2960,368,520,494,285,779,1508,767,449,199,188,229,71,0,1623
1013.05,5622,2607,3015,374,578,554,622,535,953,922,644,151,158,78,20,33,1957
1013.06,5586,2742,2844,747,373,308,294,711,1379,769,375,227,165,215,23,0,1554
1013.07,2358,1148,1210,200,103,137,139,197,624,213,222,109,173,108,105,28,533
1014,6287,3677,2610,687,741,618,545,1231,1252,1038,144,13,7,11,0,0,2313
1015,7541,3854,3687,496,533,526,336,300,1326,845,1090,647,445,627,259,111,1776
1016,5793,2783,3010,228,593,252,500,603,482,761,817,386,297,514,278,82,1347
1017,8129,4129,4000,201,396,717,615,403,705,1123,1397,423,786,935,307,121,1738
1018.02,10895,5474,5421,934,674,991,387,400,1500,1572,1941,601,545,752,489,109,2847
1018.03,7012,3298,3714,644,453,514,390,355,1030,846,935,464,375,535,343,128,1839
1018.04,7418,3666,3752,425,506,792,586,307,970,975,1183,280,390,476,319,209,2096
1019.02,2369,1124,1245,95,110,191,136,126,252,327,288,176,221,313,117,17,501
1019.03,11118,5185,5933,736,482,1139,939,619,2225,1475,1097,722,606,529,451,98,2876
1019.04,5152,2567,2585,337,599,544,363,142,715,1082,590,265,227,175,56,57,1749
1020.01,5822,2605,3217,432,240,182,578,1093,1078,544,743,356,192,254,111,19,1096
1020.02,9116,4650,4466,1061,625,569,468,1063,2201,1331,777,188,423,315,95,0,2646
1020.03,7024,3636,3388,758,665,467,434,773,1633,1089,682,231,112,158,22,0,2216
1020.04,6264,3295,2969,561,548,503,436,260,1641,837,691,346,155,267,19,0,1899
1020.05,5447,3026,2421,385,365,468,201,527,1193,662,784,361,243,136,47,75,1334
1020.06,9491,4935,4556,1283,672,781,561,417,2352,1604,799,293,274,367,38,50,3075
9801,289,262,27,0,0,0,48,178,54,5,4,0,0,0,0,0,0
